name,description,urls,application owner,tech lead,value to business,hosting cost,number of users,staff costs,env,Frequency of deployments,Uptime requirements,Data sensitivity,Source code controlled,Continuous delivery,Can run on Linux,PII,Legal holds,COTS,Business continuity plan,End of support date,Dependencies,hosts,dbs
Yellow Pages website,"Telephone directories of businesses, organized by category, and in which advertising is sold",http://www.yellowpages.com,Dolly Parker,Ms. Randi Buckridge,19000000,4000000,160000,8000000,Test,Yearly,"9am-5pm, Mon-Fri",Low,No,No,Yes,No,Yes,Yes,Yes,2020-09-15,Map Integration App,"yellowpagesweb5, yellowproxy2, yellowpagesapp0, yellowpagesdb3",Yellowpages Account database
"Airbnb, Inc.",Accomodation sharing site that allows property owners to rent out their spaces to travellers,http://www.airbnb.com,Desiree Christiansen,Ms. Nola Bins,17000000,3000000,150000,8000000,Test,Hourly,"9am-5pm, Mon-Sat",Medium,Yes,No,No,Yes,Yes,Yes,No,2022-12-10,Map Integration App,"vcenter, airbnbproxy1, airbnbapp1, airbnbdb0",Airbnb Product database
Alexa website,Provides commercial web traffic data and analytics,http://www.alexa.com,Daren McGlynn Jr.,Roslyn Marks,19000000,3000000,170000,6000000,Test,Daily,"9am-5pm, Mon-Fri",Medium,Yes,Yes,No,No,Yes,Yes,No,2022-12-18,Payment Integration App,"alexaweb4, alexaproxy3, alexaapp5, alexadb5",Alexa App database
National Institutes of Health,"Primary agency of the United States Government, responsible for biomedial and public health research",http://www.nih.gov,Alfred Wiza V,Kennedi Nolan,24000000,1000000,200000,8000000,Test,Monthly,24x7,High,Yes,Yes,No,No,Yes,Yes,Yes,2021-08-06,3D Print API,"nihweb2, nihproxy0, nihapp0, nihdb1",Nih Product database
Ancestry website,"largest for-profit genealogy company, which operates a network of genealogical, historical record and genetic genealogy websites",http://www.ancestry.com,Precious Yost,Zack Terry,17000000,2000000,150000,8000000,Development,Yearly,"9am-5pm, Mon-Sat",Medium,No,Yes,No,Yes,No,No,Yes,2021-04-30,Payment Integration App,"ancestryweb4, ancestryproxy1, ancestryapp0, ancestrydb4",Ancestry App database
Blizzard battle.net website,"Internet-based online gaming, social networking, digital distribution, and digital rights management platform developed by Blizzard Entertainment",http://www.battle.net,Minerva Ziemann,Annetta Stamm,19000000,2000000,160000,6000000,Test,Hourly,"9am-5pm, Mon-Sun",High,No,Yes,No,Yes,No,Yes,No,2023-08-15,External Login Integration App,"battleweb5, battleproxy2, battleapp5, battledb3",Battle App database
Minecraft website,Minecraft is a 2011 sandbox video game created by swedish game designer Markus Persson,http://www.minecraft.net, Markus Persson,Jeramy Feeney,21000000,1000000,200000,5000000,Test,Daily,"9am-5pm, Mon-Sat",Medium,No,Yes,Yes,No,Yes,No,No,2021-10-20,Fullcontact API,"minecraftweb0, minecraftproxy0, minecraftapp1, minecraftdb0",Minecraft App database
"Epic Games, Inc.","American video game and software development corporation based in Cary, North Carolina",http://www.epicgames.com,Oral Douglas,Otha Stamm,16000000,4000000,170000,8000000,Test,Hourly,"9am-5pm, Mon-Sun",High,Yes,No,Yes,Yes,No,No,Yes,2021-05-20,Payment Integration App,"epicgamesweb3, epicgamesproxy0, epicgamesapp2, epicgamesdb4",Epicgames Account database
Starry Internet,"A fixed wireless broadband Internet service provider (ISP or WISP) operated by Starry, Inc.",http://www.starry.com,Annamae Wolf,Heather Adams,23000000,2000000,160000,5000000,Production,Hourly,24x7,Low,No,No,No,No,No,Yes,No,2022-12-12,External Login Integration App,"starryweb1, starryproxy1, starryapp1, starrydb2",Starry Account database
Cheddar (TV Channel),Cheddar is a live streaming financial news network founded by Jon Steinberg in the United States,http://www.cheddar.com,John Steinberg,Gracie Cummerata PhD,20000000,2000000,200000,7000000,Production,Yearly,24x7,Low,No,Yes,No,No,Yes,No,No,2023-08-25,Custom Tweet Filter App,"cheddarweb1, cheddarproxy3, cheddarapp0, cheddardb4",Cheddar Product database
Nanit,"The Nanit Sleep System helps you track, monitor, and even improve your child's sleep",http://www.nanit.com,Lillian McCullough,Lowell Bosco,23000000,1000000,170000,7000000,Production,Yearly,24x7,High,No,No,No,Yes,Yes,No,Yes,2021-01-16,Payment Integration App,"nanitweb1, nanitproxy0, nanitapp2, nanitdb4",Nanit Account database
Truebill,"Manage your subscriptions, lower your bills, and stay on top of your financial life",http://www.truebill.com,Rosetta Waelchi I,Thad Hudson,21000000,1000000,160000,6000000,Test,Daily,"9am-5pm, Mon-Fri",High,Yes,No,No,Yes,Yes,Yes,No,2021-01-23,Twilio API,"truebillweb1, truebillproxy4, truebillapp5, truebilldb0",Truebill App database
